id,fastq_filename,mouse_id,Day,genotype,trt,phenotype,sex,deletion,wt_chg_pct,fat_pct,lean_pct,group_id,output_label
OPA01,OPA01.fastq,4549,0,opa1floxed_villincre,none,wt,m,opa1,0,2.34,90.35,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM (OPA1+)
OPA03,OPA03.fastq,4550,0,opa1floxed_villincre,none,wt,m,opa1,0,0.6,91.62,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+)
OPA05,OPA05.fastq,4558,0,opa1floxed_villincre,none,wt,f,opa1,0,13.44,76.82,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+)
OPA07,OPA07.fastq,4559,0,opa1floxed_villincre,none,wt,f,opa1,0,2.25,88.86,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+)
OPA09,OPA09.fastq,4560,0,opa1floxed_villincre,none,wt,f,opa1,0,7.63,83.59,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+)
OPA11,OPA11.fastq,4548,0,opa1floxed_villincre,none,wt,f,opa1,0,5.08,86.18,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+)
OPA02,OPA02.fastq,4549,8,opa1floxed_villincre,tam,opa1_ko,m,opa1,-3.1,2.02,88.71,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)"
OPA04,OPA04.fastq,4550,8,opa1floxed_villincre,tam,opa1_ko,m,opa1,-12.37,0.62,100.05,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)"
OPA06,OPA06.fastq,4558,8,opa1floxed_villincre,tam,opa1_ko,f,opa1,-17.16,3.58,88.38,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)"
OPA08,OPA08.fastq,4559,8,opa1floxed_villincre,tam,opa1_ko,f,opa1,5.85,1.92,86.18,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)"
OPA10,OPA10.fastq,4560,8,opa1floxed_villincre,tam,opa1_ko,f,opa1,-4.49,5,81.6,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)"
OPA12,OPA12.fastq,4548,8,opa1floxed_villincre,tam,opa1_ko,f,opa1,7.07,4.57,84.24,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)"
OPA13,OPA13.fastq,3730,21,opa1floxed_villincre,tam,opa1_ko,m,opa1,4.6,3.41,88.54,opa1floxed_vilcre_tam_d21,"D21 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)"
OPA14,OPA14.fastq,3731,21,opa1floxed_villincre,tam,opa1_ko,m,opa1,7.3,7.4,84.57,opa1floxed_vilcre_tam_d21,"D21 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)"
OPA15,OPA15.fastq,3727,21,opa1floxed_villincre,tam,opa1_ko,f,opa1,-31.42,0,88.77,opa1floxed_vilcre_tam_d21,"D21 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)"
OPA16,OPA16.fastq,3693,21,opa1floxed_villincre,tam,opa1_ko,f,opa1,-21.62,3.14,88.5,opa1floxed_vilcre_tam_d21,"D21 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)"
OPA17,OPA17.fastq,3792,21,opa1floxed_villincre,tam,opa1_ko,m,opa1,-17.46,1.23,90.46,opa1floxed_vilcre_tam_d21,"D21 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)"
OPA18,OPA18.fastq,3793,21,opa1floxed_villincre,tam,opa1_ko,m,opa1,-29.71,0,91.28,opa1floxed_vilcre_tam_d21,"D21 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)"
