guild_name,taxa_member,references
Butyrate Producers,Faecalibacterium prausnitzii,29-32
Butyrate Producers,Roseburia intestinalis,29-32
Butyrate Producers,Roseburia hominis,29-32
Butyrate Producers,Roseburia inulinivorans,29-32
Butyrate Producers,Butyrivibrio fibrisolvens,29-32
Butyrate Producers,Butyrivibrio proteoclasticus,29-32
Butyrate Producers,Coprococcus comes,29-32
Butyrate Producers,Coprococcus catus,29-32
Butyrate Producers,Coprococcus eutactus,29-32
Butyrate Producers,Eubacterium hallii,29-32
Butyrate Producers,Eubacterium rectale,29-32
Butyrate Producers,Anaerostipes caccae,29-32
Butyrate Producers,Anaerostipes hadrus,29-32
Butyrate Producers,Clostridium butyricum,29-32
Butyrate Producers,Clostridium tyrobutyricum,29-32
Butyrate Producers,Subdoligranulum variabile,29-32
Butyrate Producers,Butyricicoccus pullicaecorum,29-32
Butyrate Producers,Intestinimonas butyriciproducens,29-32
Propionate Producers,Bacteroides thetaiotaomicron,"33,34"
Propionate Producers,Bacteroides uniformis,"33,34"
Propionate Producers,Bacteroides ovatus,"33,34"
Propionate Producers,Bacteroides vulgatus,"33,34"
Propionate Producers,Bacteroides dorei,"33,34"
Propionate Producers,Phascolarctobacterium succinatutens,"33,34"
Propionate Producers,Dialister succinatiphilus,"33,34"
Propionate Producers,Veillonella parvula,"33,34"
Propionate Producers,Veillonella atypica,"33,34"
Propionate Producers,Akkermansia muciniphila,"33,34"
Propionate Producers,Alistipes putredinis,"33,34"
Propionate Producers,Prevotella copri,"33,34"
Acetate Producers,Bifidobacterium longum,"35,36"
Acetate Producers,Bifidobacterium bifidum,"35,36"
Acetate Producers,Bifidobacterium adolescentis,"35,36"
Acetate Producers,Bifidobacterium breve,"35,36"
Acetate Producers,Akkermansia muciniphila,"35,36"
Acetate Producers,Lactobacillus reuteri,"35,36"
Acetate Producers,Lactobacillus acidophilus,"35,36"
Acetate Producers,Blautia obeum,"35,36"
Acetate Producers,Blautia wexlerae,"35,36"
Acetate Producers,Ruminococcus bromii,"35,36"
Secondary Bile Acid Producers,Clostridium scindens,"37,38"
Secondary Bile Acid Producers,Clostridium hylemonae,"37,38"
Secondary Bile Acid Producers,Clostridium hiranonis,"37,38"
Secondary Bile Acid Producers,Clostridium absonum,"37,38"
Secondary Bile Acid Producers,Ruminococcus gnavus,"37,38"
Secondary Bile Acid Producers,Eggerthella lenta,"37,38"
Colonization Resistance,Lactobacillus reuteri,"39,40"
