sample_id,observed,diversity_shannon,evenness_pielou,dominance_relative,fastq_filename,mouse_id,Day,genotype,trt,phenotype,sex,deletion,wt_chg_pct,fat_pct,lean_pct,group_id,output_label,chao1,ace
OPA01,2542,4.771003261166634,0.608491503989687,0.06356803581502848,OPA01.fastq,4549,0,opa1floxed_villincre,none,wt,m,opa1,0,2.34,90.35,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM (OPA1+),4443.891719745223,4918.456956277505
OPA03,3147,4.934633641407591,0.6126779371116029,0.0713024804819014,OPA03.fastq,4550,0,opa1floxed_villincre,none,wt,m,opa1,0,0.6,91.62,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+),5394.566929133858,6297.760828661341
OPA05,3697,4.920969380159071,0.5990022496814313,0.09698083677591948,OPA05.fastq,4558,0,opa1floxed_villincre,none,wt,f,opa1,0,13.44,76.82,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+),6869.54,7833.127972581573
OPA07,3254,4.806598538120147,0.5943140850840348,0.11972920344319278,OPA07.fastq,4559,0,opa1floxed_villincre,none,wt,f,opa1,0,2.25,88.86,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+),5664.702579666161,6628.416887772766
OPA09,3141,4.739614790165269,0.588604106969586,0.08183952392218238,OPA09.fastq,4560,0,opa1floxed_villincre,none,wt,f,opa1,0,7.63,83.59,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+),5679.717391304348,6568.75940173334
OPA11,3387,4.841860293656625,0.5957233142631384,0.0893737829623833,OPA11.fastq,4548,0,opa1floxed_villincre,none,wt,f,opa1,0,5.08,86.18,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+),6915.896373056995,8128.97831675481
OPA02,2815,4.8447340834137265,0.6099592562199735,0.09239476605579719,OPA02.fastq,4549,8,opa1floxed_villincre,tam,opa1_ko,m,opa1,-3.1,2.02,88.71,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",4770.335877862595,5204.488877699907
OPA04,3605,5.038314761260324,0.6151730601158578,0.07479662960199458,OPA04.fastq,4550,8,opa1floxed_villincre,tam,opa1_ko,m,opa1,-12.37,0.62,100.05,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",6477.922018348624,7066.109549194073
OPA06,2836,4.589925364378467,0.57733821742247,0.10571620957615244,OPA06.fastq,4558,8,opa1floxed_villincre,tam,opa1_ko,f,opa1,-17.16,3.58,88.38,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",4930.189285714286,5688.517545026253
OPA08,3519,4.847871650042614,0.5936703328559266,0.0850788913356021,OPA08.fastq,4559,8,opa1floxed_villincre,tam,opa1_ko,f,opa1,5.85,1.92,86.18,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",6907.441226575809,7409.87524017856
OPA10,2997,4.539901342078537,0.5671072049417312,0.12908333181677556,OPA10.fastq,4560,8,opa1floxed_villincre,tam,opa1_ko,f,opa1,-4.49,5,81.6,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",6211.493902439024,6957.217906246835
OPA12,3037,4.876145350901961,0.6081023951246662,0.06271269722833901,OPA12.fastq,4548,8,opa1floxed_villincre,tam,opa1_ko,f,opa1,7.07,4.57,84.24,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",6061.0428571428565,6450.379052771276
OPA13,3309,4.65962759209708,0.5749502541961424,0.0940508471491747,OPA13.fastq,3730,21,opa1floxed_villincre,tam,opa1_ko,m,opa1,4.6,3.41,88.54,opa1floxed_vilcre_tam_d21,"D21 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",6775.760638297872,7885.450626398055
OPA14,2335,4.43600128501122,0.5719616367689786,0.08764490709567054,OPA14.fastq,3731,21,opa1floxed_villincre,tam,opa1_ko,m,opa1,7.3,7.4,84.57,opa1floxed_vilcre_tam_d21,"D21 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",4429.335664335664,5392.740661011696
OPA15,904,2.589340973439394,0.38040339140956647,0.28025987734080693,OPA15.fastq,3727,21,opa1floxed_villincre,tam,opa1_ko,f,opa1,-31.42,0,88.77,opa1floxed_vilcre_tam_d21,"D21 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",1669.3374233128834,1960.5736354787377
OPA16,2000,3.447713379176489,0.45359263554925255,0.14862872845729677,OPA16.fastq,3693,21,opa1floxed_villincre,tam,opa1_ko,f,opa1,-21.62,3.14,88.5,opa1floxed_vilcre_tam_d21,"D21 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",3593.057971014493,4149.053172754084
OPA17,1821,3.4710994278492113,0.4623730113748119,0.19629110629856777,OPA17.fastq,3792,21,opa1floxed_villincre,tam,opa1_ko,m,opa1,-17.46,1.23,90.46,opa1floxed_vilcre_tam_d21,"D21 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",3576,4146.720160114923
OPA18,816,2.6597798138574573,0.3967206787999452,0.446013576225227,OPA18.fastq,3793,21,opa1floxed_villincre,tam,opa1_ko,m,opa1,-29.71,0,91.28,opa1floxed_vilcre_tam_d21,"D21 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",1062.881443298969,1164.3761598554624
