family_label,group_id,n_samples,mean_relative_abundance,sd_relative_abundance,median_relative_abundance,min_relative_abundance,max_relative_abundance,pooled_total_abundance,top20_rank
Lachnospiraceae,untreated_opa1floxed_vilcre_d0,6,0.5889611255676672,0.08642772595159731,0.5881234559495725,0.4779408107435961,0.6946436834798705,8.593681951479518,1
Lachnospiraceae,opa1floxed_vilcre_tam_d8,6,0.6541677467209195,0.14348606733351366,0.7245992056663735,0.4600703844071467,0.7773553794714423,8.593681951479518,1
Lachnospiraceae,opa1floxed_vilcre_tam_d21,6,0.1891514529579995,0.23428721967050065,0.07081613543510112,0.008026755852842809,0.4961213744976479,8.593681951479518,1
Muribaculaceae,untreated_opa1floxed_vilcre_d0,6,0.16576958480307494,0.07860785013963559,0.14352214688039705,0.08543498380379455,0.28430738622233276,3.0313156211095396,2
Muribaculaceae,opa1floxed_vilcre_tam_d8,6,0.09307363537475115,0.07888689848874207,0.05986636154995907,0.026728230474084673,0.2316764953664701,3.0313156211095396,2
Muribaculaceae,opa1floxed_vilcre_tam_d21,6,0.24637605000709717,0.19968210137866158,0.28613716323850524,0.004709576138147566,0.5103734439834025,3.0313156211095396,2
Pasteurellaceae,untreated_opa1floxed_vilcre_d0,6,4.404135050719574e-4,2.159895558690832e-4,4.4420800884165525e-4,1.983208831889998e-4,7.958219348420791e-4,1.5905924471235875,3
Pasteurellaceae,opa1floxed_vilcre_tam_d8,6,0.004539625122472858,0.004352805119572934,0.003715461229632032,6.412311638345624e-4,0.012046561992420142,1.5905924471235875,3
Pasteurellaceae,opa1floxed_vilcre_tam_d21,6,0.26011870255971975,0.31082417927835115,0.14354246751504554,5.269397971281781e-4,0.7551020408163265,1.5905924471235875,3
Oscillospiraceae,untreated_opa1floxed_vilcre_d0,6,0.11223886458946261,0.03505580851897314,0.12030567475462972,0.06605322059189256,0.16202003338898163,1.350899600003629,4
Oscillospiraceae,opa1floxed_vilcre_tam_d8,6,0.08598699071650144,0.010112788929974704,0.09037251902646043,0.07233120712480443,0.09614765532782488,1.350899600003629,4
Oscillospiraceae,opa1floxed_vilcre_tam_d21,6,0.026924078027974137,0.0382733199410973,0.005195950068504899,0.0018729096989966556,0.09293900671848242,1.350899600003629,4
Bacteroidaceae,untreated_opa1floxed_vilcre_d0,6,0.021998750102079766,0.012878683736958314,0.01721100243147092,0.01064322073114299,0.04347177319074857,0.8677037159886369,5
Bacteroidaceae,opa1floxed_vilcre_tam_d8,6,0.02134178899957072,0.010956837512538274,0.018452297170735224,0.010301534499409808,0.039929615592853275,0.8677037159886369,5
Bacteroidaceae,opa1floxed_vilcre_tam_d21,6,0.10127674689645567,0.09123189162971689,0.08231183060400751,0.02068238703728099,0.2480267558528428,0.8677037159886369,5
Prevotellaceae,untreated_opa1floxed_vilcre_d0,6,0.02381121649605748,0.011550488807312092,0.02117922794294571,0.01121107918413491,0.039990052225814476,0.3814104349605865,6
Prevotellaceae,opa1floxed_vilcre_tam_d8,6,0.02679784347916763,0.01884575861779239,0.016824931912939323,0.012715956647708982,0.05576610720086627,0.3814104349605865,6
Prevotellaceae,opa1floxed_vilcre_tam_d21,6,0.012959345851539314,0.012464129476035922,0.012862584826322875,0,0.03293373732051113,0.3814104349605865,6
Eggerthellaceae,untreated_opa1floxed_vilcre_d0,6,0.02086434634432665,0.009155490721846264,0.018689225602751464,0.013131061924894305,0.03774707476697296,0.36640313772285893,7
Eggerthellaceae,opa1floxed_vilcre_tam_d8,6,0.01758306436159149,0.006968164658893775,0.01699839645440957,0.010957427698940186,0.030454791553871142,0.36640313772285893,7
Eggerthellaceae,opa1floxed_vilcre_tam_d21,6,0.022619778914558353,0.028951005022444982,0.014769667961816708,0,0.08022130013831259,0.36640313772285893,7
Enterobacteriaceae,untreated_opa1floxed_vilcre_d0,6,0.010174898008130855,0.001992378742638676,0.009965914553801768,0.007536859955720948,0.01310517529215359,0.3201131768268874,8
Enterobacteriaceae,opa1floxed_vilcre_tam_d8,6,0.009942611181093177,0.0043404814472604225,0.009361045680387082,0.005462704038499057,0.016513264753654576,0.3201131768268874,8
Enterobacteriaceae,opa1floxed_vilcre_tam_d21,6,0.03323468694859054,0.02946336155181988,0.024978499761108455,0.010436462195083958,0.08833223467369809,0.3201131768268874,8
Lactobacillaceae,untreated_opa1floxed_vilcre_d0,6,0.0027240002140118203,8.927968848894965e-4,0.0030879794711788635,0.0015865670655119985,0.003531459835861726,0.2581104622996584,9
Lactobacillaceae,opa1floxed_vilcre_tam_d8,6,0.005635154877658128,0.0024243645092395273,0.005608384677313814,0.001740484587550955,0.009389419465607897,0.2581104622996584,9
Lactobacillaceae,opa1floxed_vilcre_tam_d21,6,0.03465925529160645,0.03197549362964031,0.03063454144199486,0.004704196392410979,0.09294660514172709,0.2581104622996584,9
Bacillaceae,untreated_opa1floxed_vilcre_d0,6,0.007874320446745601,0.00189177018980848,0.007722019719076816,0.005425709515859766,0.011163973809411655,0.16098784697150215,10
Bacillaceae,opa1floxed_vilcre_tam_d8,6,0.013656250914081668,0.0027106050220956994,0.012688227356859854,0.011175743141116658,0.01733018564223629,0.16098784697150215,10
Bacillaceae,opa1floxed_vilcre_tam_d21,6,0.005300736467756423,0.002991987046946518,0.005936112558130552,0.0010465724751439038,0.008567245085516683,0.16098784697150215,10
Coprobacillaceae,untreated_opa1floxed_vilcre_d0,6,0.0017162971042631377,9.084386633974554e-4,0.00168799043359829,3.966417663779996e-4,0.00295173514160351,0.1555484807417378,11
Coprobacillaceae,opa1floxed_vilcre_tam_d8,6,0.009682567910704896,0.01688863001253092,0.0033638587528105873,6.870333898227454e-4,0.04399025446670276,0.1555484807417378,11
Coprobacillaceae,opa1floxed_vilcre_tam_d21,6,0.014525881775321596,0.01884600084855773,0.007768345443824973,0,0.04878048780487805,0.1555484807417378,11
Flavobacteriaceae,untreated_opa1floxed_vilcre_d0,6,0.0054379393162210165,0.0019047333571325516,0.004748772637496446,0.003589315525876461,0.007897885919425609,0.10470191291820816,12
Flavobacteriaceae,opa1floxed_vilcre_tam_d8,6,0.005958118932364691,0.0020809013326747853,0.005380717699278741,0.003664178079054642,0.008966181249247803,0.10470191291820816,12
Flavobacteriaceae,opa1floxed_vilcre_tam_d21,6,0.006054260571115652,0.0027854621905083698,0.006707350143193198,0.0010465724751439038,0.00933609958506224,0.10470191291820816,12
Atopobiaceae,untreated_opa1floxed_vilcre_d0,6,7.648798187709991e-4,4.142108344983648e-4,6.636274394233924e-4,2.644278442519997e-4,0.0015157558835261267,0.098152561135569,13
Atopobiaceae,opa1floxed_vilcre_tam_d8,6,0.006835455451089795,0.006432114536759825,0.006232906537246225,4.5802225988183023e-4,0.01813752030319437,0.098152561135569,13
Atopobiaceae,opa1floxed_vilcre_tam_d21,6,0.008758424919400707,0.009130101997394228,0.007958085197778294,0,0.02234113712374582,0.098152561135569,13
Clostridiaceae,untreated_opa1floxed_vilcre_d0,6,0.003551304564399776,0.0013853131479404045,0.0035787413408648683,0.0019198664440734558,0.005793961090960479,0.058719401204818764,14
Clostridiaceae,opa1floxed_vilcre_tam_d8,6,0.0050516501442895365,0.0021421976655107383,0.005059518542795545,0.0026107268813264323,0.008209035304217191,0.058719401204818764,14
Clostridiaceae,opa1floxed_vilcre_tam_d21,6,0.0011836121587804817,0.0014482907891103544,8.253421964408795e-4,0,0.0037384342191345526,0.058719401204818764,14
Desulfovibrionaceae,untreated_opa1floxed_vilcre_d0,6,0.003471829475210901,0.0011222548896061958,0.0036085309994420825,0.0015916438696841582,0.004841402337228714,0.05864864433112421,15
