taxon,loading_comp1,loading_comp2,abs_loading_comp1,abs_loading_comp2,selected_comp1,selected_comp2,in_heatmap
Species|uncultured bacterium,0.7173575731170243,0,0.7173575731170243,0,TRUE,FALSE,TRUE
Species|Ligilactobacillus faecis,0.4284845753833923,0,0.4284845753833923,0,TRUE,FALSE,TRUE
Genus|Ligilactobacillus,0.32111180814982837,0,0.32111180814982837,0,TRUE,FALSE,TRUE
Species|Ligilactobacillus murinus,0.3142047572207316,0,0.3142047572207316,0,TRUE,FALSE,TRUE
Species|uncultured Blautia sp.,-0.20586553426526644,0,0.20586553426526644,0,TRUE,FALSE,TRUE
Family|Lactobacillaceae,0.17726668090637596,0,0.17726668090637596,0,TRUE,FALSE,TRUE
Species|Ligilactobacillus animalis,0.14221744116365123,0,0.14221744116365123,0,TRUE,FALSE,TRUE
Species|Pediococcus damnosus,0.07186938699061565,0,0.07186938699061565,0,TRUE,FALSE,TRUE
Species|Wujia chipingensis,-0.021092828373792758,0,0.021092828373792758,0,TRUE,FALSE,TRUE
Species|Dysosmobacter sp. Marseille-Q4140,-0.017934520694454194,0,0.017934520694454194,0,TRUE,FALSE,TRUE
Phylum|Bacteroidota,0,0,0,0,FALSE,FALSE,FALSE
Class|Bacteroidia,0,0,0,0,FALSE,FALSE,FALSE
Order|Bacteroidales,0,0,0,0,FALSE,FALSE,FALSE
Family|Muribaculaceae,0,0,0,0,FALSE,FALSE,FALSE
Genus|Duncaniella,0,0,0,0,FALSE,FALSE,FALSE
Species|Duncaniella dubosii,0,0,0,0,FALSE,FALSE,FALSE
Species|Duncaniella sp. B8,0,0,0,0,FALSE,FALSE,FALSE
Species|Duncaniella sp. C9,0,0,0,0,FALSE,FALSE,FALSE
Species|Muribaculaceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Muribaculaceae bacterium MF13079,0,0,0,0,FALSE,FALSE,FALSE
Genus|Muribaculum,0,0,0,0,FALSE,FALSE,FALSE
Species|Muribaculum intestinale,0,0,0,0,FALSE,FALSE,FALSE
Species|Muribaculum gordoncarteri,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Muribaculum sp.,0,0,0,0,FALSE,FALSE,FALSE
Species|Paramuribaculum intestinale,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Muribaculaceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Sodaliphilus pleomorphus,0,0,0,0,FALSE,FALSE,FALSE
Family|Bacteroidaceae,0,0,0,0,FALSE,FALSE,FALSE
Genus|Bacteroides,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroides caecimuris,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroides uniformis,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroides faecium,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroides thetaiotaomicron,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroides sp. CACC 737,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroides sp. KG123,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroides sp. A1C1,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroides sp. KFT8,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroides sp. M10,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroides sp. DH3716P,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroides sp. HF-162,0,0,0,0,FALSE,FALSE,FALSE
