sample_id,mouse_id,group_id,comp1,comp2
OPA01,4549,untreated_opa1floxed_vilcre_d0,-1.0386357176063896,-2.346424648261138
OPA03,4550,untreated_opa1floxed_vilcre_d0,-1.6363585192331123,-0.6109899825013784
OPA05,4558,untreated_opa1floxed_vilcre_d0,-2.387167860849665,-0.7061105015616627
OPA07,4559,untreated_opa1floxed_vilcre_d0,-2.456422362559157,-1.4801033517844857
OPA09,4560,untreated_opa1floxed_vilcre_d0,-1.442916751070758,-2.359873369626219
OPA11,4548,untreated_opa1floxed_vilcre_d0,-1.7294405617221238,-1.5693184254846546
OPA02,4549,opa1floxed_vilcre_tam_d8,-1.267473562027587,1.7474399045381737
OPA04,4550,opa1floxed_vilcre_tam_d8,-1.2741464596180347,2.4349170125445436
OPA06,4558,opa1floxed_vilcre_tam_d8,-0.6640871292456102,1.3399155008074741
OPA08,4559,opa1floxed_vilcre_tam_d8,-1.1717457333491212,2.783954069429245
OPA10,4560,opa1floxed_vilcre_tam_d8,-0.5197709255252124,1.14263145701559
OPA12,4548,opa1floxed_vilcre_tam_d8,-1.6880223642367054,1.3959625665361022
OPA13,3730,opa1floxed_vilcre_tam_d21,0.7445033204070305,-0.36324764061578785
OPA14,3731,opa1floxed_vilcre_tam_d21,1.984730351116871,-1.1877756461771083
OPA15,3727,opa1floxed_vilcre_tam_d21,4.627799097409742,-0.21089237885794576
OPA16,3693,opa1floxed_vilcre_tam_d21,2.271224127410799,-0.4331997173651485
OPA17,3792,opa1floxed_vilcre_tam_d21,3.2665977876156616,-0.2476142547228105
OPA18,3793,opa1floxed_vilcre_tam_d21,4.381333263083376,0.6707294060872072
