axis,guild_column,group1,group2,n_group1,n_group2,omnibus_test,omnibus_p,test,p,p.adj,p.adj.signif,diagnostic
Butyrate,Butyrate Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d8,6,6,Kruskal-Wallis,0.011206872529357348,Dunn,1,1,ns,NA
Butyrate,Butyrate Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.011206872529357348,Dunn,0.009444165687832646,0.014166248531748969,*,NA
Butyrate,Butyrate Producers,opa1floxed_vilcre_tam_d8,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.011206872529357348,Dunn,0.009444165687832646,0.014166248531748969,*,NA
Acetate,Acetate Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d8,6,6,Kruskal-Wallis,0.019305438773144144,Dunn,1,1,ns,NA
Acetate,Acetate Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.019305438773144144,Dunn,0.014961017675175685,0.022441526512763526,*,NA
Acetate,Acetate Producers,opa1floxed_vilcre_tam_d8,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.019305438773144144,Dunn,0.014961017675175685,0.022441526512763526,*,NA
Propionate,Propionate Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d8,6,6,Kruskal-Wallis,0.03444397966139714,Dunn,0.19436591080310914,0.19436591080310914,ns,NA
Propionate,Propionate Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.03444397966139714,Dunn,0.009444165687832646,0.028332497063497938,*,NA
Propionate,Propionate Producers,opa1floxed_vilcre_tam_d8,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.03444397966139714,Dunn,0.19436591080310914,0.19436591080310914,ns,NA
H2S producers,H2S Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d8,6,6,Kruskal-Wallis,0.0074858789328552605,Dunn,0.626496274346911,0.626496274346911,ns,NA
H2S producers,H2S Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.0074858789328552605,Dunn,0.003500475821755825,0.010501427465267475,*,NA
H2S producers,H2S Producers,opa1floxed_vilcre_tam_d8,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.0074858789328552605,Dunn,0.014961017675175685,0.022441526512763526,*,NA
ROS-sensitive,ROS_sensitive,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d8,6,6,Kruskal-Wallis,0.01667962688240684,Dunn,0.5886881339518897,0.5886881339518897,ns,NA
ROS-sensitive,ROS_sensitive,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.01667962688240684,Dunn,0.006857415853701494,0.020572247561104484,*,NA
ROS-sensitive,ROS_sensitive,opa1floxed_vilcre_tam_d8,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.01667962688240684,Dunn,0.03054484997647527,0.045817274964712905,*,NA
IBD-depleted,Depleted in IBD,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d8,6,6,Kruskal-Wallis,0.01831563888873418,Dunn,0.7456027889274615,0.7456027889274615,ns,NA
IBD-depleted,Depleted in IBD,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.01831563888873418,Dunn,0.02314093130874372,0.03471139696311558,*,NA
IBD-depleted,Depleted in IBD,opa1floxed_vilcre_tam_d8,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.01831563888873418,Dunn,0.009444165687832646,0.028332497063497938,*,NA
TMAO producers,TMAO Precursor Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d8,6,6,Kruskal-Wallis,0.17200462411704215,Dunn not run: omnibus p >= 0.05,NA,NA,NA,Kruskal-Wallis
TMAO producers,TMAO Precursor Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.17200462411704215,Dunn not run: omnibus p >= 0.05,NA,NA,NA,Kruskal-Wallis
TMAO producers,TMAO Precursor Producers,opa1floxed_vilcre_tam_d8,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.17200462411704215,Dunn not run: omnibus p >= 0.05,NA,NA,NA,Kruskal-Wallis
LPS producing,LPS-High (Endotoxemia) Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d8,6,6,Kruskal-Wallis,0.21989175354849735,Dunn not run: omnibus p >= 0.05,NA,NA,NA,Kruskal-Wallis
LPS producing,LPS-High (Endotoxemia) Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.21989175354849735,Dunn not run: omnibus p >= 0.05,NA,NA,NA,Kruskal-Wallis
LPS producing,LPS-High (Endotoxemia) Producers,opa1floxed_vilcre_tam_d8,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.21989175354849735,Dunn not run: omnibus p >= 0.05,NA,NA,NA,Kruskal-Wallis
SecBile Acid,Secondary Bile Acid Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d8,6,6,Kruskal-Wallis,0.28111094993429525,Dunn not run: omnibus p >= 0.05,NA,NA,NA,Kruskal-Wallis
SecBile Acid,Secondary Bile Acid Producers,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.28111094993429525,Dunn not run: omnibus p >= 0.05,NA,NA,NA,Kruskal-Wallis
SecBile Acid,Secondary Bile Acid Producers,opa1floxed_vilcre_tam_d8,opa1floxed_vilcre_tam_d21,6,6,Kruskal-Wallis,0.28111094993429525,Dunn not run: omnibus p >= 0.05,NA,NA,NA,Kruskal-Wallis
