taxon,rho,pval,padj,sig,dir,func_guild,in_ml_top_taxa,colour_cat,label_set
Species|Enterocloster bolteae,-0.8988648090815273,3.990236717256869e-7,1.6314136711418912e-4,TRUE,Dysbiosis-protecting,NA,FALSE,Protecting (other),top5
Class|Clostridia,-0.8885448916408669,8.394663545248568e-7,1.6314136711418912e-4,TRUE,Dysbiosis-protecting,NA,FALSE,Protecting (other),top5
Genus|Mediterraneibacter,-0.8885448916408669,8.394663545248568e-7,1.6314136711418912e-4,TRUE,Dysbiosis-protecting,NA,FALSE,Protecting (other),top5
Species|Pasteurellaceae bacterium Orientalotternb1,0.8844169246646028,1.107920999077685e-6,1.6314136711418912e-4,TRUE,Dysbiosis-promoting,NA,FALSE,Promoting (other),top5
Species|Enterocloster clostridioformis,-0.8802889576883386,1.4473368008429252e-6,1.704962751392966e-4,TRUE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Vescimonas coprocola,-0.8740970072239421,2.1231300937836557e-6,1.9961945519961926e-4,TRUE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Prevotella nigrescens,0.869969040247678,2.7112999008437056e-6,1.9961945519961926e-4,TRUE,Dysbiosis-promoting,NA,FALSE,Promoting (other),top5
Family|Lachnospiraceae,-0.869969040247678,2.711299900843725e-6,1.9961945519961926e-4,TRUE,Dysbiosis-protecting,Lachnospiraceae / Butyrate,FALSE,Lachnospiraceae / Butyrate,guild
Genus|Blautia,-0.8679050567595459,3.054546058934943e-6,1.999030698569646e-4,TRUE,Dysbiosis-protecting,Lachnospiraceae / Butyrate,FALSE,Lachnospiraceae / Butyrate,guild
Species|[Clostridium] symbiosum,-0.8658410732714138,3.4345106049678248e-6,2.0229267463260487e-4,TRUE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Oscillospiraceae bacterium,-0.8617131062951496,4.317684006760882e-6,2.3119235272565087e-4,TRUE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Lachnospiraceae bacterium JLR.KK008,-0.8596491228070176,4.827997425048467e-6,2.3697420694612892e-4,TRUE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Blautia producta,-0.8534571723426213,6.681541734969331e-6,3.027252370689951e-4,TRUE,Dysbiosis-protecting,Lachnospiraceae / Butyrate,FALSE,Lachnospiraceae / Butyrate,guild
Order|Eubacteriales,-0.8513931888544892,7.42168762562192e-6,3.1224100082080793e-4,TRUE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Family|Oscillospiraceae,-0.845201238390093,1.0078952744608412e-5,3.9576687777162365e-4,TRUE,Dysbiosis-protecting,IBD-depleted,FALSE,IBD-depleted,guild
Species|Pseudoflavonifractor gallinarum,-0.8369453044375644,1.4859874205555088e-5,5.470291191919966e-4,TRUE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Haemophilus influenzae,0.8348813209494323,1.63203675125438e-5,5.654527332287234e-4,TRUE,Dysbiosis-promoting,NA,FALSE,Promoting (other),top5
Family|Pasteurellaceae,0.8245614035087719,2.560823159881076e-5,7.182499243666499e-4,TRUE,Dysbiosis-promoting,NA,FALSE,Promoting (other),top5
